"Chinese (Traditional, Simplified, Pinyin, HSK)",Occidental
愛 ; 爱 ; ài ; HSK1,amar; amore
八 ; 八 ; bā ; HSK1,ott
爸爸 ; 爸爸 ; bàba ; HSK1,patre; papá
杯子 ; 杯子 ; bēizi ; HSK1,cope; tasse
北京 ; 北京 ; Běijīng ; HSK1,Beijing
本 ; 本 ; běn ; HSK1,mesur-parol por libres
不客氣 ; 不客气 ; bú kèqi ; HSK1,neproquó; ne esse polit
不 ; 不 ; bù ; HSK1,no; ne
菜 ; 菜 ; cài ; HSK1,manjage; legumes
茶 ; 茶 ; chá ; HSK1,té
吃 ; 吃 ; chī ; HSK1,manjar
出租車 ; 出租车 ; chūzūchē ; HSK1,taxi
打電話 ; 打电话 ; dǎ diànhuà ; HSK1,telefonar
大 ; 大 ; dà ; HSK1,grand
的 ; 的 ; de ; HSK1,de (in órdine contrari a ti de Occidental)
點 ; 点 ; diǎn ; HSK1,un punctu; un poc; hora
電腦 ; 电脑 ; diànnǎo ; HSK1,computator
電視 ; 电视 ; diànshì ; HSK1,television
電影 ; 电影 ; diànyǐng ; HSK1,filme
東西 ; 东西 ; dōngxi ; HSK1,cose; coses
都 ; 都 ; dōu ; HSK1,omni; ambi
讀 ; 读 ; dú ; HSK1,leer; studiar
對不起 ; 对不起 ; duìbuqǐ ; HSK1,pardon
多 ; 多 ; duō ; HSK1,mult
多少 ; 多少 ; duōshao ; HSK1,quant?
兒子 ; 儿子 ; érzi ; HSK1,filio
二 ; 二 ; èr ; HSK1,du
飯店 ; 饭店 ; fàndiàn ; HSK1,restaurant; hotel
飛機 ; 飞机 ; fēijī ; HSK1,aeroplane
分鐘 ; 分钟 ; fēnzhōng ; HSK1,minute; mesur-parol por témpor
高興 ; 高兴 ; gāoxìng ; HSK1,felici
個 ; 个 ; ge ; HSK1,general mesur-parol
工作 ; 工作 ; gōngzuò ; HSK1,laborar; un labor
狗 ; 狗 ; gǒu ; HSK1,can
漢語 ; 汉语 ; Hànyǔ ; HSK1,lingue chinés
好 ; 好 ; hǎo ; HSK1,bon
號 ; 号 ; hào ; HSK1,numeró; die del mensu
喝 ; 喝 ; hē ; HSK1,trincar
和 ; 和 ; hé ; HSK1,e; con
很 ; 很 ; hěn ; HSK1,tre
后面 ; 后面 ; hòumian ; HSK1,retro; detra
回 ; 回 ; huí ; HSK1,retornar; responder
會 ; 会 ; huì ; HSK1,posser far
幾 ; 几 ; jǐ ; HSK1,quant; pluri; quelc
家 ; 家 ; jiā ; HSK1,familie; dom
叫 ; 叫 ; jiào ; HSK1,nominar se
今天 ; 今天 ; jīntiān ; HSK1,hodie
九 ; 九 ; jiǔ ; HSK1,nin
開 ; 开 ; kāi ; HSK1,aperter; startar; conducter un vehicul
看 ; 看 ; kàn ; HSK1,vider; spectar
看見 ; 看见 ; kànjiàn ; HSK1,vider; capter vista de
