German,Occidental
"zu, an, bei",a
so … machen,a- (Vorsilbe)
"ab-, fort -",ab- (Vorsilbe)
verlassen,abandonar
senken,abassar
Abt,abate
Äbtissin,abatessa
Abtei,abatia
"fällen, niederschlagen, niederwerfen",abatter
Abessinien,Abissinia
abessinisch,abissinian
"anhängen (an Haken), aufhängen",acrocar
verschönern,abellar
abdanken,abdicar
Abdankung,abdication
Unterleib,abdomine
Tanne,abiete
"Abgrund, Kluft",abiss
Abiturient,abiturient
verworfen,abject
"verleugnen, entsagen",abnegar
"Leugnen, Entsagen",abnegation
abschaffen,abolir
Abschaffung,abolition
scheußlich,abominabil
verabscheuen,abominar
Abscheu,abomination
Abonnement,abonnament
abonnieren,abonnar
Abonnent,abonnator
an Bord gehen,abordar
"Abtreibung, Schwangerschaftsabbruch",aborte
abtreiben,aborter
"Abtreibung, Schwangerschaftsabbruch",abortion
bellen,aboyar
abkürzen,abreviar
Abkürzung,abreviation
Aprikose,abricot
aufheben,abrogar
Aufhebung,abrogation
"schroff, abschüssig, abrupt",abrupt
Geschwür,abscess
abwesend,absent
sich absentieren,absentar se
Abwesenheit,absentie
"freisprechen, (rel.) die Absolution erteilen",absoluer
aufsaugen,absorpter
sich enthalten,abstener se
"Enthaltung, Abstinenz",abstenentie
"abziehen, absehen von",abstraer
abstrakt,abstra(c)t
"absurd, widersinnig, albern",absurd
"Absurdität, Widersinn",absurditá
überflüssig,abundant
Überfluss,abundantie
im Überfluss vorhanden sein,abundar
"täuschen, hintergehen",abuser
Akazie,acacie
Akademiker,academico
Akademie,academie
"ankaufen, hamstern, zusammentragen",acaparar
"hinzutreten, gelangen zu",acceder
beschleunigen,accelerar
Beschleunigung,acceleration
Beschleuniger,accelerator
anzünden,accender
Feuerzeug,accendette
"Betonung, Akzent",accentu
betonen,accentuar
Akzentuierung,accentuation
"annehmbar, akzeptabel",acceptabil
"annehmen, akzeptieren",acceptar
"Akzeptanz, Annahme",acceptation
zugehörig,accessori
Zubehör,accessorie
"zufällig, unwesentlich",accidental
Unfall,accidente
Unfall,accidente
"zustoßen, geschehen",accider
herb,acerb
Ahorn,acere
Essig,acete
sauer,acid
Säure,acide
erblinden,aciecar
"anfeuern, zujubeln",aclamar
"Anfeuerung, Zujubeln",aclamation
"aufklären, beleuchten",aclarar
akklimatisieren,aclimatisar
anschließen,adcluder
anpassen,acomodar
Begleitung,acompaniament
begleiten,acompaniar
vollenden,acompleer
Vollendung,acomplement
Anerkennung,aconossement
anerkennen,aconosser
"Übereinstimmung, Einigung",acord
übereinstimmen,acordar
Akkordeon,acordeon
Akkordeonspieler,acordeonist
"ätzend, beißend, scharf",acri
Akrobat,acrobate
akrobatisch,acrobatic
einhaken,acrocar
Akten,actas
"Akt, Handlung",acte
handeln,acter
Handlung,action
Aktionär,actionario
aktiv,activ
aktivieren,activar
Aktivität,activitá
Schauspieler,actor
Schauspielerin,actoressa
"gegenwärtig, aktuell",actual
Aktualität,actualitá
Wochenbett,acuchament
Hebamme,acuchera
"speichern, anhäufen",acumular
Anhäufung,acumulation
"verkuppeln, Paare bilden",acuplar
"pünktlich, genau",acurat
"Pünktlichkeit, Genauigkeit",acuratesse
"verkürzen, kürzen",acurtar
anklagen,acusar
"anklagen, beschuldigen",acusar
"Anklage, Beschuldigung",acusation
Akkusativ,acusativ
Angeklagter,acusato
Ankläger,acusator
akustisch,acustic
Akustik,acustica
gewöhnen,acustomar
gewöhnt,acustomat
spitz,acut
nach oben,ad supra
wohin,ad u
vorwärts,ad-avan
unnachgiebig,adamant
anpassen,adaptar
"Anpassung, Adaption",adaptation
herbeieilen,adcurrer
"Zusatz, Nachsatz",addendum
"hinzufügen, zusammenzählen, addieren",addir
"Addition, Hinzufügen",addition
"Anhänger, Eingeweihter",adepte
"entsprechend, angemessen, adäquat",adequat
"anhängen, beitreten, sich anschließen",adherer
Beitritt,adhesion
"tschüss, Lebewohl",adío
erraten,adivinar
angrenzend,adjacent
Adjektiv,adjective
aberkennen,adjudicar
beschwören,adjurar
ausrichten,adjustar
Adjutant,adjutante
höchstens,admaxim
wenigstens,adminim
verwalten,administrar
Verwaltung,administration
Verwalter,administrator
bewundernswert,admirabil
Admiral,admirale
bewundern,admirar
Bewunderung,admiration
Bewunderer,admirator
"zulassen, zugeben",admisser
"ermahnen, mahnen",admonir
"Jüngling, Teenager",adolescente
heranwachsen,adolescer
"adoptieren, annehmen",adopter
Adoption,adoption
bewundernswert,adorabil
bewundern,adorar
Bewunderung,adoration
Bewunderer,adorator
anreden,adparlar
"außerdem, zudem",adplu
"anreden, das Wort richten an",adressar li parol a
Adressenverzeichnis,adressarium
"Adressat, Empfänger",adressate
Adresse,adresse
"lobhudeln, verherrlichen",adular
erwachsen,adult
Erwachsener,adulte
Ehebruch begehen,adulterar
Ehebruch,adultérie
Advent,advente
Adverb,adverbie
"zwar, freilich, allerdings",advere
Gegner,adversario
widrig,adversi
"benachrichtigen, warnen",advertir
Luft,aere
Luftfahrtgesellschaft,aer-companie
Fluglinie,aer-linea
lüften,aerar
Luftschiff,aeronave
Flugzeug,aeroplan
Flugplatz,aeroportu
freundlich,afabil
hungrig,afamat
aushungern,afamar
"beführen, bewegen, zur Schau stellen",afectar
Erregung,afecte
Zuneigung,afection
"Angelegenheit, Sache",afere
Geschäft(e),afere(s)
afghanisch,afgan
Afghanistan,Afghanistan
"Plakat, Anzeige",afiche
"verwandet, nahestehend",afini
"Nähe, Affinität",afinitá
"bejahen, bekräftigen, behaupten",afirmar
"Bejahung, Bekräftigung, Behauptung",afirmation
"Ableitungssilbe, Affix",afixe
betrüben,aflicter
"Andrang, Einfließen",afliuentie
aufforsten,aforestar
"frankieren, freimachen",afrancar
Afrika,Africa
afrikanisch,african
"abkühlen, erfrischen",afrigidar
"trotzen,entgegentreten, die Stirn bieten",afrontar
Lafette,afuste
Agenda,agende
Agentur,agentie
Reisebüro,agentie de turisme
Agentur,agentura
"flink, agil",agil
"aufreizen, agitieren, lebhaft bewegen",agitar
Agitation,agitation
Agitator,agitator
Schaf,agne
Lamm,agnello
Todeskampf,agonie
Spange,agraffe
vergrößern,agrandar
"Feld, Acker",agre
angenehm,agreabil
Landwirtschaft,agricultura
landwirtschaftlich,agricultural
Nadel,agullie
ah! ach! ha!,ah!
beschämen,ahontar
"aufschieben, vertagen",ajornar
