English,Occidental
above,"(prep.) súper; (adv.) supra, ad-supra; (more than) plu quam. ~ all: precipue, ante omnicos"
above-board,"franc, apert, sinceri"
abrasion,abrasion
abreast,"flanc a flanc, paralelmen"
abridge,"acurtar, reducter"
abroad,(outside) extern; (out of country) in extrania
abrogate,"abrogar (-ation, -ator)"
abrupt,abrupt; (sudden) subit. abruptness: abruptitá
abscess,abscesse
abscond,"fugir, escapar secretmen, forcurrer"
absent,"a. ~ (-ie). ~minded: obliviaci, distractet; v. absentar se"
absinthe,"absinte, vermute"
absolute,"absolut, soveran, ínlimitat"
absolutely,"ínfallibilmen, absolutmen"
absolve,absoluer (-tion)
absorb,"absorpter (-ion), insucar"
abstain,abstener se (-entie); (from alcohol) abstiner (-ente)
abstemious,"abstenent, frugal, moderat"
abstract,a. abstra(c)t; v. abstraer (-tion). to make an ~: resumar; n. resumate
abstruse,"obscur, profund, ocult, celat"
absurd,"absurd (-itá), stult, idiotic"
abundance,abundantie
abuse,"v. insultar, invectivar; misusar. n. insulte(s), invective; misusa"
abut,adjacer
abyss,"abisse, precipitie"
acacia,acacie; (false) robinia
academy,academie (-ic)
acanthus,acante
accede,"acceder; (to a request) conceder, consentir"
accelerate,"accelerar (-ation, -ator)"
accent,"accentu (-al, -ar, -ation); (of speech) parla-maniere"
accept,acceptar (-ation)
acceptable,"acceptabil, agreabil"
access,"accesse (-ibil, -ion)"
accessory,a. accessori; n.pl. accessories
accidence,"flexion, morfologie"
accident,"accidente (-al), chance, hasarde"
acclaim,"aclamar (-ation, -atori)"
acclimatise,aclimatisar (-ation)
acclivity,"coline, declive"
accommodate,"acomodar, adaptar; (oblige) compleser; (put up) albergar"
accompany,acompaniar (-ament)
accomplice,"complice, conculpon"
accomplish,"acompleer, efectuar, executer, atinger"
accomplishment,(aquisit) habilitá
accomplished,talentat
accord,"n. acorde; v. acordar, concordar; (grant) conceder, dar. of one's own ~: de propri volentie"
accordance,"acordantie. in ~ with: conform a, secun"
according to|according,secun
accordingly,"ergo, dunc, pro to"
accordion,acordeon (-ist)
accost,adparlar
accoucheur,acuehera
account,"(bill) calcul, factura; (banking) conto; (importance) importantie; (story) raconta, raporte. on ~ of: pro. on no ~: pro nequel (null) cause, certmen ne. to ~ for: responsar, rendir conto pri"
accountable,responsabil
accountant,contator de libres
accoutre,"equipar, provider per"
accredit,"acreditar, atestar"
accrue,"acrescer, augmentar se, resultar"
accumulate,"acumular (-ation, -ator), amassar, augmentar se"
accuracy,"precision, corectitá, acuratesse"
accurate,"acurat, exact, corect, precisi, sin erras"
accursed,maledit
accuse,"acusar (-ation, -ator, -ativ, -ative)"
accustom,"acustomar, aclimatar (se a)"
accustomed,usual
ace,ass
acerbity,"acerbitá, aspritá"
acetate,acetate
acetylene,acetilen
ache,v. doler (-ore)
achieve,"acompleer, atinger, efectuar"
achromatic,acromatic
acid,acid; n. acide
acknowledge,"aconosser (-ement), confesser, admisser"
acme,"cúlmine, sómmite; (disease) crise"
aconite,aconte
acorn,glande
acoustic,acustic. (~s) acustica
acquaint,"conossentar, informar, avisar"
acquaintance,"conossentie; (person) conossete (-o, -a)"
acquiesce,"submisser se a, consentir a"
acquire,"aquisir, obtener, ganiar"
acquisition,aquisition
acquit,"absoluer, aquittar; (oneself) conduir se"
acre,acre
acrid,"acri, picant, acerb"
acrimonious,amari (-tá)
acrobat,acrobate (-ic)
across,trans. to come ~; trovar
acrostic,acrosticon
act,"v. acter (-ion, -or, -iv, -ivitá); (as an actor) luder, acter; n. acte; statute, actu (-ario)"
actinic,actinic
action,(lawsuit) processu; (of machine) functionada
actual,"factic, real, efectiv"
actuate,"instigar, motivar, far functionar, impulser"
acumen,"sagacitá, perception"
acute,"acut, sagaci"
ad libitum|ad|libitum,ad libitum
ad nauseam|ad|nauseam,a nausea
adage,proverbie
adamant,adamant
adapt,"adaptar (-ation), adjustar"
add,"adjunter; (arith.) addir, summar"
addendum,addendum
adder,vípere
addict,sclave. v. to ~ oneself to: habituar se a
addle,"confuser, putrir. ~brained: stult, stupid"
address,"adresse (-ate, -arium); (speech) discurse, parlation; v. (letters) directer, adressar; (a person) adparlar"
addressee,destinatario
adduce,"citar, alegar"
adept,"adept, habil; n. adepte"
adequate,"adequat, suficent"
adhere,"adherer (-ente,-sion, -siv)"
adhesive,"adhesive, colle"
adieu,"adío, til revide"
adipose,"corpulent, obesi"
adjacent,"adjacent, vicin"
adjective,"adjective (-al, -ic)"
