English,Gothic
a,"got. a 5, ai-n-s 197"
a...,got. un-
abandon (V.),got. bi-lei-þ-an* 26
abase (V.),"got. ga-hau-n-jan* 2, ga-hnai-w-jan* 4, hau-n-jan 2, hnai-w-jan* 3"
abasement,got. hnai-w-ein-s* 1
abbreviation for 1,got. a 5
abbreviation for 10,got. i 2
abbreviation for 100,got. r 4
abbreviation for 2,got. b 9
abbreviation for 20,got. k 4
abbreviation for 3,got. g 2
abbreviation for 30,got. l 8
abbreviation for 300,got. t 2
abbreviation for 4,got. d 1
abbreviation for 40,got. m 3
abbreviation for 5,got. e 6
abbreviation for 50,got. n 2
abbreviation for 6,got. q 3
abbreviation for 60,got. j 7
abbreviation for 7,got. z 2
abbreviation for 70,got. u 1
abbreviation for 8,got. h 2
abbreviation for 9,got. þ 1
abdominal -- internal abdominal organs,got. wamb-a 11
aberrance,got. us-wa-nd-i* 1
abhorrent,got. and-a-sÐt-s* 2
abide,"got. ga-beid-an* 1, ga-sta-n-d-an 22"
ability -- ability to hear,got. hliu-m-a 4
-- have the ability,got. mag-an* 136=135
abjure,"got. af-ai-k-an 13, af-dæ-m-jan 5"
able,got. mah-t-eig-s 22
able in instructing,got. lais-eig-s 2
-- be able,got. mag-an* 136=135
abound,"got. bi-auk-n-an 2, ga-auk-an* 1, man-ag-n-an* 5"
-- abound in,got. ga-næh-n-an 1
about,"got. bi 376=373, fra-m 185=183, swÐ 178"
-- about to die,got. *swul-t-a-waír-þ-s?
-- be about to,got. mun-an* (2) 6
above,"got. aúh-um-a* 33, iup-a 5, uf-ar 43, uf-ar-æ 7"
-- above all,got. þi-s-hun 6=5
-- be above,got. uf-ar-wi-s-an* 2
-- the one above,got. *uf-ar-a
absent,"got. af-hai-m-ei-s* 2, al-ja-r 2"
-- absent from home,got. af-hai-m-ei-s* 2
absolutely,got. al-l-is 27
-- absolutely yes,got. ja-i 12
absolution,"got. af-lag-ein-s* 1, swikn-ein-s* 3"
absolve,"got. af-lÐ-t-an 52, fra-lÐ-t-an 32, *swikn-jan?"
abstain,"got. af-hab-an* (sik) 1, ga-hab-an 11, *þarb-an?"
-- abstain from,got. ga-þarb-an 2
-- abstain from food,got. fast-an 45
abstinence,got. fast-ubn-i* 6
abstinent,"got. ga-þaúrb-s 1, *þaúrb-s"
-- be abstinent,got. ga-þarb-an 2
abundance,"got. dig-r-ei* 1, fil-u-sn-a 6, man-ag-dð-þ-s 1"
-- grow in abundance,got. bi-auk-n-an 2
abundant,got. ga-næh-s* 7
-- be abundant,"got. man-ag-n-an* 5, uf-ar-as-s-jan 5"
-- make abundant,got. man-ag-jan* 2
abundantly,got. gab-ig-a-ba 1
abuse (V.),got. ga-aiw-isk-æn* 11=10
-- abuse verbally,got. *nai-t-jan?
abusive -- abusive speech,"got. an-a-qi-s-s* 2, nai-t-ein-s* 3, *waj-a-mÐ-r-ein-s 5"
abusively -- speaking abusively,got. *waj-a-mÐ-r-ei-s?
abyss,got. af-grund-iþ-a* 2
accept (V.),"got. and-nim-an 102, in-nim-an* 1, nim-an 105"
-- accept (V.) as a unit,got. mi-þ-nim-an 1
-- accept (V.) in conjunction,got. mi-þ-nim-an 1
acceptable,got. and-a-nÐm-s 8=7
acceptance,"got. and-a-nÐm* 1, and-a-num-t-s 4, *num-t-s?"
-- include in acceptance,got. mi-þ-nim-an 1
accepting,got. and-a-nÐm-eig-s 1
access (N.),got. at-ga-g-g* 2
accessible,got. *at-gõ-h-t-s (2)
accomidate -- accomodate o.s. to,got. and-til-æn* 2
-- accomodate with,got. and-stal-d-an* 4
accomodation,got. *hari-baírg-æ?
accompany,"got. af-ar-ga-g-g-a-n 7, ga-sand-jan 2"
accomplish,"got. *fru-m-jan, ga-tau-jan 90, us-tiu-h-an 51=50"
accomplishment,got. us-taú-h-t-s 4
accord (N.),got. sam-a-qi-s-s* 2
-- be in accord,got. mi-þ-qiþ-an* 1
-- wholehearted accord,got. al-l-a-wÐr-ei* 1
accordance -- in accordance with,got. af-ar 77
according -- according as,got. swa-swÐ 181=179
-- according to,got. af-ar 77
account (N.),"got. in-sah-t-s 6, ra-þ-j-æ 5"
-- on account of,"got. an-a (1) 273, bi 376=373, in 1792"
-- on account of the fact that,"got. dð-þÐ 50, un-tÐ 386=383"
-- give an account,got. in-sak-an* 5
account (V.) account as,got. rah-n-jan* 14
-- account to,got. rah-n-jan* 14
accrue -- accrue to,got. und-ri-n-n-an* 2
accumulate,"got. dra-g-an* 1, hðh-jan* 1"
accumulation,got. *þrai-h-n
-- accumulation of riches,got. faíh-u-þrai-h-n* 4
accurate -- accurate understanding,got. uf-kun-þ-i* 8
accurately,got. gla-ggw-æ 1
accursed -- accursed one,got. ana-þaím-a 2
-- accursed thing,got. ana-þaím-a 2
accusation,"got. us-qi-s-s* 1, wræ-h-s* 2"
-- basis for accusation,got. faír-in-a* (1) 8
-- beyond accusation,got. un-faír-in-a* 2
accuse,"got. faír-in-æn* 3, wræ-h-jan 6"
-- accuse calumniously,got. fra-wræ-h-jan* 1
-- accuse maliciously,got. fra-wræ-h-jan* 1
accustomed,got. bi-ð-h-t-s 2
achieve (V.),got. ga-waúrk-jan 24
achieve,got. *lais-t-æn?
-- achieve depth,got. ga-diup-jan* 1
-- achieve doing,got. ga-tau-jan 90
-- achieve junction with,got. ga-til-æn* 1
-- achieve retribution for,got. ga-wri-k-an* 3
aching -- sexual aching,got. wi-n-n-a* 1
acknowledge,"got. and-hai-t-an 15, at-kun-n-an* 1"
-- acknowledge o.s. as subordinate,got. ga-kun-n-an* (1) (sik) 4
-- acknowledge the parental prerogatives or precedence of,got. bar-usn-jan 1
acknowledgement,got. and-a-hai-t* 3
acquaintance,got. *kun-n-ain-s?
-- thorough acquaintance,got. kun-þ-i 17
acquainted -- be acquainted,got. kun-n-an (1) 97=96
acquire,"got. faír-waúrk-jan* 1, fra-nim-an 2, ga-geig-an* 7, ga-nim-an 18, ga-stald-an 5, *stal-d-an?"
-- acquire as property,got. ga-faih-æn* 1
-- acquire knowledge of,"got. ga-kun-n-an (2) 8, *-kun-n-an (2)"
-- acquire through purchase (V.),got. us-bug-jan* 7
-- acquire use of,got. niut-an 2
-- acquire wealth,got. faíh-u-geig-an* 1
acquiring (Adj.),got. *stal-d-s?
acquisition,got. ga-waúrk-i 5
-- have in acquisition,got. dis-nim-an* 1
acquisitive,"got. ag-l-ait-ga-stal-d-s 2, *ga-stal-d-s?"
acquisitiveness,got. ga-waúrk-i 5
act (N.),got. táu-i 7
-- act (N.) of committing to s.o.'s safekeeping,got. an-a-fil-h* 6
-- act (N.) of creation,"got. ga-skaf-t-s 11=10, *skaf-t-s (3)?"
-- act (N.) of instruction,got. lais-ein-s 34
-- act (N.) of judging,got. stá-u-a (1) 25
-- act (N.) of testifying,got. wei-t-wæd-ein-s 1
-- culpable act,got. faír-in-a* (1) 8
-- impute a culpable act to,got. faír-in-æn* 3
act (V.),got. tau-jan 211=209
-- act (V.) like a madman,got. dwa-l-m-æn* 2
-- act (V.) with restraint toward,got. frei-d-jan* 6
action,"got. táu-i 7, waúr-st-w-ei* 1"
active,got. *am-a-l-s?
activity,"got. táu-i 7, waúr-st-w 83=82"
acumen -- apply acumen to,got. and-hru-sk-an* 1
adapt to,got. and-til-æn* 2
add,"got. an-a-auk-an 5, bi-auk-an* 3"
-- add by argumentation,got. an-a-in-sak-an* 1
-- add to,got. an-a-in-sak-an* 1
-- add to the rectification of,got. at-ga-raíh-t-jan* 1
adder,"got. nadr-s* 1, *nÐdr-æ?"
addict -- wine addict,got. wein-dru-g-k-j-a 1
addicted,got. *fri-k-s?
-- addicted to wine,got. wein-ag-s* 3=2
addiction,got. *fri-k-ei?
-- additional increment,got. wæk-r-s* 1
address (V.),"got. hai-t-an 64, wæp-jan 18"
-- address with salutations,got. and-qiþ-an 2
adduce,got. und-rÐ-d-an 1
adequate -- be barely adequate,"got. bi-naúh-an* 3, *naúh-an?"
adhere -- adhere to,"got. ga-haf-t-n-an* 1, haf-t-jan* (sik) 4"
-- make o.s. adhere to,got. haf-t-jan* (sik) 4
adherend -- become adhered to,got. *haf-t-n-an?
adjacent -- adjacent section,got. fÐr-a* 4
-- next adjacent,got. ift-uma* 4
-- lie adjacent to,got. at-lig-an* 1
adjudge,got. ga-dæ-m-jan 6
adjudgement,got. rag-in* 6=5
adjuration,got. us-blæt-ein-s* 2=1
adjure,"got. bi-swar-an* 2, *us-blæt-an?"
adjust -- adjust to,got. and-til-æn* 2
administer,got. andb-ah-t-jan 23=22
administration,got. faúr-a-ga-g-g-i 7=6
admired -- be admired,got. si-ld-a-leik-n-an 1
admission -- find admission,"got. ga-mæt-an* 3, *mæt-an"
admission tax,got. mæt-a 4
-- place of admission tax collection,got. mæt-a-sta-þ-s* 1
admission-fee -- admission-fee collector,got. mæt-õ-rei-s 19
admitted -- be admitted,"got. ga-mæt-an* 3, *mæt-an"
admittedly,got. swÐ-þauh 36=34
admonish,"got. ga-þlaih-an 12=11, talz-jan* 7"
adopt,got. and-nim-an 102
adoption -- adoption as children,got. frast-i-si-b-j-a 1
-- familial adoption,got. frast-i-si-b-j-a 1
adore,got. *in-wei-t-jan?
adorn (V.),"got. fÐt-jan* 1, *ga-fÐt-jan"
