English,Gothic
individual (calque of einstaklingur Is) (ainahs + -liggs)  ,Ainahaliggs (m. A)
pump (loan from Pumpe NHG)  ,Pumpa (f. O)
to pump (^pumpa + -on)  ,Pumpon (weak II)
"pipe, tube (from *pīpōn PG)  ",Peipo (f. N)
to water (wato + -jan) (compare namnjan)  ,Watnjan (weak I)
irrigate (calque of irrigō L) (in- + ^watjnan)  ,Inwatnjan (weak I)
irrigation (calque of irrigātiō L) (^inwatnjan + -eins)  ,Inwatneins (f. I)
"idiot (calque of hálfviti Is, halfwit NE) (semi- + witi)  ",Semiwiti (n. Ja)
"to populate (calque of NE, bevölkern NHG) (ga- + þiuda + -jan)  ",Gaþiudjan (weak I)
"population (calque of NE, Bevölkerung NHG) (^gaþiudjan + -eins)  ",Gaþiudeins (f. I)
million (based on mikils + þusundi)  ,Mikilundi (f. Jo)
billion (based on twi- + ^mikilundi) (compare billion NE)  ,Twikilundi (f. Jo)
-illion (from mikilundi)  ,-kilundi
"tap water, tapwater (calque of NE) (^tappa + wato)  ",Tappawato (n. N)
to restore (attested)  ,Gabotjan (weak I)
"to improve, better (transative) (causative of batnan, indirectly attested through gabatnan)  ",Batjan (weak I)
improvement (^batjan + -eins)  ,Bateins (f. I)
protection (from *wardō PG)  ,Warda (f. O)
"to guard, protect, watch over (from *wardōjanan PG)  ",Wardon (weak II)
"protected, guarded (past. part. of ^wardon)  ",Wardoþs (adj. A)
"unprotected, unguarded (un- + ^wardoþs)  ",Unwardoþs (adj. A)
need (attested)  ,Þaurfts (f. I)
"to gather, collect (attested)  ",Lisan (strong V)
"collection (a physical collection, not the act of collecting) (lisan + -jo)  ",Lisjo (f. N)
calculation (from rīman PG)  ,Reim (n. A)
to arrange (from *raidijanan PG)  ,Raidjan (weak I)
"arrangement, ordinence (from *raidīniz PG) (^raidjan + -eins)  ",Raideins (f. I)
"collection (the act of collecting or a physical collection, although with the latter it is better to use lisjo instead) (causative of lisan + -eins)  ",Laseins (f. I)
chapter (calque of Latin capitulum) (haubiþ + -ilo (neuter of -ila)  ,Haubidilo (n.N)
to distract (Calque of Latin distraho)  ,Twisdragan (strong 6)
distraction (causative of twisdragan + -eins)  ,Twisdrogeins (f.I/O)
"detail (leitils + -iþa, based on Icelandic smáatriði)  ",Leitiliþa (f.O)
"initially, firstly (fruma 'first' + -leiks + -o)  ",Frumaleiko (adv.)
to surprise (Calque of German überraschen)  ,Ufarþliutjan (weak 1)
"luck (From Greek τύχη) Awi (n.ja) luck, fortune (from Proto-Germanic *aujan) ",Twxa (f.O)
"dusky, gloomy (from Proto-Germanic *þimistraz)  ",Þimistrs
"dawn, dusk (from Proto-Germanic *þimran)  ",Þimr (n.A)
"away, from (attested in unþaþliuhan)  ",Unþa- (pref.)
to go away (unþa- + gaggan)  ,Unþagaggan (irr.)
butterfly (from Proto-Germanic *fifaldǭ)  ,Fifaldo (f.N)
"lucky, fortunate (^awi + -gs)  ",Aujags (adj. A)
"zone, area (calque of περιοχή Gr) (^bilûkan + -jo)  ",Bilûkjo (f. N)
"bowl, pot, basin (from *bullōn PG) (basin as a calque of λεκάνη Gr)  ",Bulla (m. N)
underground (calque of NE) (uf- + airþa+ -isks)  ,Ufairþisks (adj. A)
above-ground (calque of NE) (ufar- + airþa + -isks)  ,Ufarairþisks (adj. A)
"occasional (calque of NE, gelegentlich NHG) (lew + -isks)  ",Lewisks (adj. A)
occasionally (^lewisks + -o)  ,Lewisko (adv.)
to drain (calque of abfließen NHG) (af- + ^flauan)  ,Afflauan (strong VII)
drainage (causative of ^afflauan + -eins)  ,Afflaueins (f. I)
"to divide, split up (attested)  ",Disdailjan (weak I)
"division, divide (disdailjan + -eins)  ",Disdaileins (f. I)
"mountain range (calque of fjellkjede Nor, mountain chain NE)  ","Fairgunjahlagkeis (m. I, plur. only)"
"limit, boundary (from *mairjan PG) (largely synonymous with marka)  ",Mairi (n. Ja)
"sex, sexual intercourse (attested)  ",Galigri (n. Ja)
"to limit, bound (^mairi + -on)  ",Mairon (weak II)
"limitation, bounding (^mairon + -ons)  ",Mairons (f. I)
"various, different (attested)  ",Missaleiks (adj. A)
"to categorise, categorize, classify (calque of flokka Is)  ",Kruppon (weak II)
"categorisation, categorization, classification (^kruppon + -ons)  ",Kruppons (f. I)
"wicked, witchy (wikka 'sorcery' + -gs)  ",Wikkags (adj.A)
"cool, nice, awesome (claque from English)  ",Wikkag! (interjection)
"sorcerer, mage, wizard (from Proto-Germanic *wikkô)  ",Wikka (m.N)
"witch, sorcereress (feminine of wikka)  ",Wikko (f.N)
to present (transative) (attested)  ,Fauragasatjan (weak I)
to present (itself) (intransative) (attested)  ,Sik fauragasatjan (weak I)
steamy (^staums + -gs)  ,Staumags (adj. A)
gas (from gas Du)  ,Gas (n. A)
"gaseous, gassy (gas + -isks)  ",Gasisks (adj. A)
"breast, chest (attested)  ",Brusts (f. C)
"embrace, adopt (calque of embrace NE, ενστερνίζομαι Gr) (in- + brusts + -jan)  ",Inbrustjan (weak I)
"piece of ice, floe (from *jekōn PG)  ",Jika (m. N)
"icicle, glacier (from *jikilaz PG) (second meaning from ON and Is)  ",Jikils (m. A)
reservoir (calque of réservoir Fr) (bairgan + -þr)  ,Bairhtr (n. A)
"grey, gray (from *grēwaz PG)  ",Grews (adj. A)
endorheic (in- + flauan + -nds) (calque of NE)  ,Inflauands (adj. Nds)
exorheic (us- + flauan + -nds) (calque of NE)  ,Usflauands (adj. Nds)
"allude to, insinuate (+ acc., to) (calque of anspielen NHG, anspela Sw, allūdō L) (ana- + ^spilon)  ",Anaspilon (weak II)
allusion (^anaspilon + -ons)  ,Anaspilons (f. N)
universe (calque of alheimur Is) (ala- + fairhwus)  ,Alafairhwus (m. U)
"universal (only predicative, never attributive)(^alafairhwus + -isks)  ",Alafairhwisks (adj. A)
universal (prefixing of ^alafairhwus)  ,Alafairhwu- (pref.)
