Esperanto,Occidental
al,"a, ad"
forlasi,abandonar
malaltigi,abassar
"abat/o,-ino","abat,-essa"
feligi,abatter
abdiki,abdicar
abdomeno,abdómine
Abderano,abderitano
abio,abiete
abismo,abiss
"malnobla, fia",abject
abol/ici/i,abolir
abomeni,abominar
"abon/i,-o","abonn/ar,-ament"
aborigeno,aborigen
"abort/i,-o","abort/er,-ion"
boji,aboyar
abrikoto,abricot
abrupta,abrupt
absceso,abscess
"forest/anta,-/ad/o","absent,-ie"
absolvi,absoluer
absoluta,absolut
"absorb/i,-/ad/o","absorpt/er,-ion"
"abstin/i,-eco","abstin/er,-entie"
"abstrakt/i,-a","abstra/er,-ct"
"absurd/a,-/ec/o","absurd,-itá"
"abund/i,-/ec/o","abund/ar,-antie"
akacio,acacie
akapari,acaparar
akceli,accelerar
/ek/lumigi,accender
"akcent/o,-i","accentu,-ar"
"akcept/i,-ebla","accept/ar,-abil"
"alir/o,-ebla","access,-ibil"
"akcesor/a,-aĵo","accessori,-e"
okazi,accider
akcidento,accidente
acerba,acerb
acero,acere
vinagro,acete
"aklam/i,-/ad/o","aclam/ar,-ation"
"acid/a,-o","acid,-e"
akomodi,acomodar
"akompan/i,-o","acompani/ar,-ament"
"akord/o,-i","acord,-ar"
akra,acri
"ag/o,-i,-ado","act,-er,-ion"
"akci/o,-ano,/-ulo/","action,-ario"
"aktiv/a,-eco","activ,-itá"
aktoro,actor
aktuala,actual
akuŝi,acuchar
"akumul/i,-o","acumul/ar,-ation"
"akurat/a,-eco","acurat,-esse"
"akuz/i,-o","acus/ar,-ation"
akuta,acut
"adapt/i,-o","adapt/ar,-ation"
adicii,addir
adekvata,adequat
adheri,adherer
"adiaŭ,-i","adí/o,-ar"
"apudkuŝi, najbari",adjacer
"aligi, almeti",adjunter
ĵurpeti,adjurar
ĵustigi,adjustar
"administr/i,-isto","administr/ar,-ator"
administracio,administration
"admir/i,-ebla","admir/ar,-abil"
"allas/i,-ebla","admiss/er,-ibil"
admoni,admonir
"adolesk/i,-anteco","adolesc/er,-entie"
"adopt/i,-o","adopt/er,-ion"
